iata,icao,airport
OBL,EBZR,Oostmalle Airfield
CRL,EBCI,Brussels South Charleroi Airport
XSE,DFES,Sebba Airport
XZA,DFEZ,Zabre Airport
TUQ,DFOT,Tougan Airport
XKY,DFCA,Kaya Airport
XDJ,DFCJ,Djibo Airport
TEG,DFET,Tenkodogo Airport
XGG,DFEG,Gorom Gorom Airport
XAR,DFOY,Aribinda Airport
FNG,DFEF,Fada N'gourma Airport
XNU,DFON,Nouna Airport
DIP,DFED,Diapaga Airport
XLU,DFCL,Leo Airport
XDE,DFOU,Diebougou Airport
XGA,DFOG,Gaoua Airport (Amilcar Cabral Airport)
BOY,DFOO,Bobo Dioulasso Airport
DGU,DFOD,Dedougou Airport
PUP,DFCP,Po Airport
TMQ,DFEM,Tambao Airport
OUA,DFFD,Ouagadougou Airport
BNR,DFOB,Banfora Airport
XBO,DFEA,Boulsa Airport
XPA,DFEP,Pama Airport
DOR,DFEE,Dori Airport
ARL,DFER,Arly Airport
OUG,DFCC,Ouahigouya Airport
XKA,DFEL,Kantchari Airport
XBG,DFEB,Bogande Airport
BOJ,LBBG,Burgas Airport
GOZ,LBGO,Gorna Oryahovitsa Airport
ROU,LBRS,Ruse Airport
VAR,LBWN,Varna Airport
PDV,LBPD,Plovdiv Airport
SLS,LBSS,Silistra Airfield
SZR,LBSZ,Stara Zagora Airport
SOF,LBSF,Sofia Airport
TGV,LBTG,Targovishte Airport (Buhovtsi Airfield)
HKV,LBHS,Haskovo Malevo Airport
BAH,OBBI,Bahrain International Airport
KRE,HBBO,Kirundo Airport
BJM,HBBA,Bujumbura International Airport
GID,HBBE,Gitega Airport
KDC,DBBK,Kandi Airport
DJA,DBBD,Djougou Airport
SVF,DBBS,Save Airport
COO,DBBB,Cadjehoun Airport
NAE,DBBN,Boundetingou Air
PKO,DBBP,Parakou Airport
SBH,TFFJ,Gustaf III Airport
BDA,TXKF,L.F. Wade International Airport
BWN,WBSB,Brunei International Airport
RBQ,SLRQ,Rurrenabaque Airport
BYC,SLYA,Yacuiba Airport
PUR,SLPR,Puerto Rico Airport
RIB,SLRI,Riberalta Airport
SBL,SLSA,Santa Ana del Yacuma Airport
ASC,SLAS,Ascencion de Guarayos Airport
VLM,SLVM,Lieutenant Colonel Rafael Pabon Airport
VAH,SLVG,Cap. Av. Vidal Villagomez Toledo Airport
CIJ,SLCO,Captain Anibal Arab Airport
SJS,SLJE,San Jose de Chiquitos Airport
SJV,SLJV,San Javier Airport
BVK,SLHJ,Huacaraje Airport
UYU,SLUY,Uyuni Airport (Joya Andina Airport)
SRZ,SLET,El Trompillo Airport
TJA,SLTJ,Capitan Oriel Lea Plaza Airport
BVL,SLBU,Baures Airport
SNG,SLSI,Capitan Av. Juan Cochamanidis Air
SNM,SLSM,San Ignacio de Moxos Airport
SRB,SLSR,Santa Rosa Airport
APB,SLAP,Apolo Airport
BJO,SLBJ,Bermejo Airport
PSZ,SLPS,Puerto Suarez International Airport
ORU,SLOR,Juan Mendoza Airport
GYA,SLGY,Guayaramerin Airport
LPB,SLLP,El Alto International Airport
CEP,SLCP,Concepcion Airport
SJB,SLJO,San Joaquin Airport
MGD,SLMG,Magdalena Airport
CAM,SLCA,Camiri Airport
VVI,SLVR,Viru Viru International Airport
MHW,SLAG,Monteagudo Airport
TDD,SLTR,Teniente Jorge Henrich Arauz Airport
REY,SLRY,Reyes Airport
SRE,SLSU,Juana Azurduy de Padilla International Airport
SRJ,SLSB,Capitan German Quiroga Guardia Airport
RBO,SLRB,Robore Airport
MQK,SLTI,San Matias Airport
SRD,SLRA,San Ramon Airport
CBB,SLCB,Jorge Wilstermann International Airport
POI,SLPO,Captain Nicolas Rojas Airport
EUX,TNCE,F. D. Roosevelt Airport
BON,TNCB,Flamingo International Airport
SAB,TNCS,Juancho E. Yrausquin Airport
UVI,SSUV,Uniao da Vitoria Airport
MVF,SBMS,Gov. Dix-Sept Rosado Airport
CWB,SBCT,Afonso Pena International Airport
PIV,SNPX,Pirapora Airport
PIN,SWPI,Julio Belem
BVS,SNVS,Breves Airport
BRB,SBRR,Barreirinhas Airport
BVH,SBVH,Vilhena Airport (Brigadeiro Camarao Airport)
SQY,SSRU,Sao Lourenco do Sul Airport
PHI,SNYE,Pinheiro Airport
CXJ,SBCX,Caxias do Sul Airport (Hugo Cantergiani Regional Airport)
ZMD,SWSN,Sena Madureira Airport
BVB,SBBV,Boa Vista International Airport
PHB,SBPB,Parnaiba-Prefeito Dr. Joao Silva Filho International Airport
PGZ,SSZW,Comte. Antonio Amilton Beraldo Airport
REZ,SDRS,Resende Airport
TMT,SBTB,Porto Trombetas Airport
VOT,SDVG,Votuporanga Airport (Domingos Pignatari Airport)
TUR,SBTU,Tucurui Airport
OIA,SDOW,Ourilandia do Norte Airport
PFB,SBPF,Lauro Kurtz Airport
AFL,SBAT,Alta Floresta Airport
SRA,SSZR,Santa Rosa Airport
GEL,SBNM,Sepe Tiaraju Airport
BSS,SNBS,Balsas Airport
PET,SBPK,Joao Simoes Lopes Neto International Airport
OLC,SDCG,Senadora Eunice Michiles Airport
BSB,SBBR,Brasilia International Airport (Presidente J. Kubitschek Int'l Airport)
PDF,SIAJ,Faz Taua Airport
MTE,SNMA,Monte Alegre Airport
PCS,SNPC,Picos Airport
BJP,SBBP,Arthur Siqueira-Braganca Paulista State Airport
GUZ,SNGA,Guarapari Airport
PBX,SWPQ,Fazenda Piraguassu Airport
PBV,SWPG,Porto dos Gauchos Airport
CZS,SBCZ,Cruzeiro do Sul International Airport
UBT,SDUB,Ubatuba Airport
VDC,SBQV,Pedro Otacilio Figueiredo Airport
LVB,SSLI,Galpoes Airport
PBQ,SWPM,Pimenta Bueno Airport
IJU,SSIJ,Joao Batista Bos Filho Airport
BRA,SNBR,Barreiras Airport
FRC,SIMK,Franca Airport (Ten. Lund Presotto-Franca State Airport)
AIF,SNAX,Assis Airport (former ICAO: SBAS)
BQQ,SNBX,Barra Airport
IGU,SBFI,Foz do Iguacu International Airport
LVR,SILC,Bom Futuro Municipal Airport
VCP,SBKP,Viracopos/Campinas International Airport
GUJ,SBGW,Guaratingueta Airport
AIR,SSOU,Aripuana Airport
OPS,SWSI,Presidente Joao Figueiredo Airport
BPS,SBPS,Porto Seguro Airport
PBB,SSPN,Paranaiba Airport
AJU,SBAR,Santa Maria Airport
BPG,SBBW,Barra do Garcas Airport
ORX,SNOX,Oriximina Airport
RIA,SBSM,Santa Maria Airport
GPB,SBGU,Tancredo Thomas de Faria Airport
JPR,SWJI,Jose Coleto Airport
PAV,SBUF,Paulo Afonso Airport
MQH,SBMC,Minacu Airport
RIG,SBRG,Rio Grande Regional Airport
IDO,SWIY,Santa Isabel do Morro Airport
OYK,SBOI,Oiapoque Airport
TEC,SBTL,Telemaco Borba Airport
UNA,SBTC,Una-Comandatuba Airport
BNU,SSBL,Blumenau Airport
ROO,SWRD,Maestro Marinho Franco Airport
FOR,SBFZ,Pinto Martins - Fortaleza International Airport
BMS,SNBU,Socrates Mariani Bittencourt Airport
ALQ,SSLT,Alegrete Airport
OUS,SDOU,Jornalista Benedito Pimentel-Ourinhos State Airport
TLZ,SWKT,Catalao Airport
HUW,SWHT,Francisco Correa da Cruz Airport
TRQ,SBTK,Jose Galera dos Santos Airport
AMJ,SNAR,Almenara Airport
MAB,SBMA,Joao Correa da Rocha Airport
IPG,SWII,Ipiranga Airport
MOC,SBMK,Montes Claros/Mario Ribeiro Airport
TBT,SBTT,Tabatinga International Airport
MNX,SBMY,Manicore Airport
CSS,SSCL,Cassilandia Airport
IPN,SBIP,Usiminas Airport
FLB,SNQG,Cangapara Airport
MAO,SBEG,Eduardo Gomes International Airport
IPU,SNIU,Ipiau Airport
RBB,SWBR,Borba Airport
RVD,SWLC,General Leite de Castro Airport
IRE,SNIC,Irece Airport
CRQ,SBCV,Caravelas Airport
FEN,SBFN,Fernando de Noronha Airport (Gov. Carlos Wilson Airport)
RAO,SBRP,Leite Lopes Airport
CQS,SWCQ,Costa Marques Airport
TXF,SNTF,Teixeira de Freitas Airport (9 de maio Airport)
UMU,SSUM,Orlando de Carvalho Airport
IRZ,SWTP,Tapuruquara Airport
MBK,SWXM,Orlando Villas-Boas Regional Airport
DIQ,SNDV,Divinopolis Airport (Brigadeiro Cabral Airport)
APQ,SNAL,Arapiraca Airport
APS,SWNS,Anapolis Airport
CPV,SBKG,Campina Grande Airport (Presidente Joao Suassuna Airport)
APU,SSAP,Apucarana Airport
APX,SSOG,Arapongas Airport
APY,SNAI,Alto Parnaiba Airport
AQA,SBAQ,Araraquara Airport
QSC,SDSC,Mario Pereira Lopes Airport
ITA,SBIC,Itacoatiara Airport
FEJ,SNOU,Feijo Airport
MBZ,SWMW,Maues Airport
ITB,SBIH,Itaituba Airport
ITE,SNZW,Itubera Airport
HRZ,SSHZ,Horizontina Airport
ITN,SNHA,Itabuna Airport
SBJ,SNMX,Sao Mateus Airport
ARS,SWEC,Aragarcas Airport
ARU,SBAU,Aracatuba Airport
ITP,SDUN,Itaperuna Airport
CNV,SNED,Canavieiras Airport
MCP,SBMQ,Alberto Alcolumbre International Airport
FEC,SNJD,Feira de Santana Airport (Gov. Joao Durval Carneiro Airport)
ITQ,SSIQ,Itaqui Airport
ITR,SBIT,Itumbiara Airport
TOW,SBTD,Luiz dal Canalle Filho Airport
STZ,SWST,Santa Terezinha Airport
CNF,SBCF,Tancredo Neves International Airport (Confins Int'l Airport)
GNM,SNGI,Guanambi Airport
MCZ,SBMO,Zumbi dos Palmares International Airport
FLN,SBFL,Hercilio Luz International Airport
VAL,SNVB,Valenca Airport
CMP,SNKE,Santana do Araguaia Airport
IZA,SBZM,Presidente Itamar Franco Airport (Zona da Mata Regional Airport)
VAG,SBVG,Major Brigadeiro Trompowsky Airport
XAP,SBCH,Serafin Enoss Bertaso Airport
GRP,SWGI,Gurupi Airport
ATM,SBHT,Altamira Airport
GRU,SBGR,Sao Paulo-Guarulhos International Airport
DMT,SWDM,Diamantino Airport
CMG,SBCR,Corumba International Airport
SDU,SBRJ,Santos Dumont Airport
CMC,SNWC,Camocim Airport
STM,SBSN,Santarem-Maestro Wilson Fonseca Airport
DNO,SWDN,Dianopolis Airport
MEA,SBME,Benedito Lacerda Airport
SFK,SNSW,Soure Airport
GMS,SNGM,Guimaraes Airport
CLV,SBCN,Caldas Novas Airport
VIA,SSVI,Angelo Ponzoni Municipal Airport
MII,SBML,Frank Miloye Milenkowichi-Marilia State Airport
AUX,SWGN,Araguaina Airport
TSQ,SBTR,Torres Airport
GIG,SBGL,Rio de Janeiro-Galeao International Airport
PVI,SSPI,Edu Chaves Airport
CLN,SBCI,Carolina Airport
DOU,SSDO,Dourados Airport (Francisco de Matos Pereira Airport)
PVH,SBPV,Governador Jorge Teixeira de Oliveira International Airport
MEU,SBMD,Serra do Areao Airport
SSZ,SBST,Santos Air Force Base
CKS,SBCJ,Carajas Airport
CKO,SSCP,Cornelio Procopio Airport
SXO,SWFX,Sao Felix do Araguaia
SJK,SBSJ,Professor Urbano Ernesto Stumpf Airport
CIZ,SWKO,Coari Airport
SJL,SBUA,Sao Gabriel da Cachoeira Airport
SJP,SBSR,Prof. Eribelto Manoel Reino State Airport
BVM,SNBL,Belmonte Airport
GVR,SBGV,Coronel Altino Machado de Oliveira Airport
SSO,SNLO,Sao Lourenco Airport
CTP,SNCP,Carutapera Airport
GDP,SNGD,Guadalupe Airport
JCB,SSJA,Santa Terezinha Municipal Airport
JCM,SNJB,Jacobina Airport
JCR,SBEK,Jacareacanga Airport
DTI,SNDT,Diamantina Airport
AZL,SWTU,Fazenda Tucunare Airport
AAG,SSYA,Arapoti Airport
SSA,SBSV,Deputado Luis Eduardo Magalhaes International Airport
SLZ,SBSL,Marechal Cunha Machado International Airport
CGR,SBCG,Campo Grande International Airport
CTQ,SSVP,Do Palmar Airport
AAI,SWRA,Arraias Airport
IOS,SBIL,Ilheus Jorge Amado Airport
POA,SBPA,Salgado Filho International Airport
LAJ,SBLJ,Antonio Correia Pinto de Macedo Airport
UDI,SBUL,Ten. Cel. Av. Cesar Bombonato Airport
PNZ,SBPL,Senador Nilo Coelho Airport
NTM,SNRW,Miracema do Tocantins Airport
AAX,SBAX,Araxa Airport
JDF,SBJF,Francisco Alvares de Assis Airport
SNZ,SBSC,Santa Cruz Air Force Base
CGH,SBSP,Sao Paulo-Congonhas Airport
SXX,SNFX,Sao Felix do Xingu Airport
FBE,SSFB,Francisco Beltrao Airport (Paulo Abdala Airport)
BAT,SBBT,Chafei Amsei Airport
GJM,SBGM,Guajara-Mirim Airport
BAZ,SWBC,Barcelos Airport
CGB,SBCY,Marechal Rondon International Airport
JDO,SBJU,Juazeiro do Norte Airport
JDR,SNJR,Prefeito Octavio de Almeida Neves Airport
SOD,SDCO,Bertram Luiz Leupolz-Sorocaba Airport
PTQ,SNMZ,Porto de Moz Airport
RBR,SBRB,Placido de Castro International Airport
JEQ,SNJK,Jequie Airport
CAF,SWCA,Carauari Airport
PTO,SSPB,Juvenal Loureiro Cardoso Airport
FBA,SWOB,Fonte Boa Airport
GYN,SBGO,Santa Genoveva Airport
CAC,SBCA,Cascavel Airport (Adalberto Mendes da Silva Airport)
CFC,SBCD,Cacador Airport
CFB,SBCB,Cabo Frio International Airport
PNG,SSPG,Santos Dumont Airport
IMP,SBIZ,Imperatriz Airport (Prefeito Renato Moreira Airport)
PNB,SBPN,Porto Nacional Airport
JIA,SWJN,Juina Airport
PSW,SNOS,Passos Airport
ERM,SSER,Erechim Airport
BZC,SBBZ,Umberto Modiano Airport
JJG,SBJA,Humberto Ghizzo Bortoluzzi Regional Airport
TFF,SBTF,Tefe Airport
BYO,SBDB,Bonito Airport
GGJ,SSGY,Guaira Airport
LOI,SSLN,Helmuth Baungartem Airport
JLS,SDJL,Jales Airport
GGH,SSCT,Gastao Mesquita Airport
BCR,SWNK,Novo Campo Airport
GGF,SNYA,Almeirim Airport
GGB,SWHP,Agua Boa Airport
TFL,SNTO,Teofilo Otoni Airport (Juscelino Kubitscheck Airport)
JNA,SNJN,Januaria Airport
PMW,SBPJ,Palmas-Brigadeiro Lysias Rodrigues Airport
VIX,SBVT,Eurico de Aguiar Salles Airport
BDC,SNBC,Barra do Corda Airport
MVS,SNMU,Mucuri Airport
NAT,SBNT,Sao Goncalo do Amarante-Governador Aluizio Alves Int
PMG,SBPP,Ponta Pora International Airport
MGF,SBMG,Silvio Name Junior Regional Airport
CDJ,SBAA,Conceicao do Araguaia Airport
JOI,SBJV,Joinville-Lauro Carneiro de Loyola Airport
TGQ,SWTS,Tangara da Serra Airport
BGX,SBBG,Comandante Gustavo Kraemer Airport
CCX,SWKC,Caceres Airport
LIP,SBLN,Lins Airport
PPY,SNZA,Pouso Alegre Airport
JPA,SBJP,Presidente Castro Pinto International Airport
SQM,SWUA,Sao Miguel do Araguaia Airport
CCM,SBCM,Diomicio Freitas Airport
NVT,SBNF,Navegantes-Ministro Victor Konder International Airport
TJL,SBTG,Plinio Alarcom Airport
CCI,SSCK,Concordia Airport
THE,SBTE,Teresina-Senador Petronio Portel Airport
PLU,SBBH,Belo Horizonte/Pampulha - Carlos Drummond de Andrade Airport
JRN,SWJU,Juruena Airport
RDC,SNDC,Redencao
CBW,SSKM,Campo Mourao Airport
JTC,SBAE,Moussa Nakhl Tobias-Bauru/Arealva State Airport
BEL,SBBE,Val de Cans International Airport
JTI,SWJW,Jatai Airport
LEP,SNDN,Leopoldina Airport
NNU,SNNU,Nanuque Airport
LEC,SBLE,Coronel Horacio de Mattos Airport
NOK,SWXV,Nova Xavantina Airport
LDB,SBLO,Londrina-Governador Jose Richa Airport
JUA,SIZX,Inacio Luis do Nascimento Airport
PPB,SBDN,Presidente Prudente Airport
NPR,SJNP,Novo Progresso Airport
NQL,SWNQ,Niquelandia Air
UBA,SBUR,Mario de Almeida Franco Airport
URG,SBUG,Rubem Berta International Airport
LBR,SWLB,Labrea Airport
LAZ,SBLP,Bom Jesus da Lapa Airport
BFH,SBBI,Bacacheri Airport
PLL,SBMN,Manaus Air Force Base
POO,SBPC,Pocos de Caldas Airport
SQX,SSOE,Helio Wasum Airport
OAL,SSKW,Capital do Cafe Airport
OBI,SNTI,Obidos Airport
POJ,SNPD,Pedro Pereira dos Santos Airport
ERN,SWEI,Eirunepe Airport (Amaury Feitosa Tomaz Airport)
REC,SBRF,Recife/Guararapes-Gilberto Freyre International Airport
CAW,SBCP,Bartolomeu Lysandro Airport
CAU,SNRU,Caruaru Airport (Oscar Laranjeiras Airport)
NAS,MYNN,Lynden Pindling International Airport
CXY,MYCC,Cat Cay Airport
CRI,MYCI,Colonel Hill Airport (Crooked Island Airport)
FPO,MYGF,Grand Bahama International Airport
SAQ,MYAN,San Andros Airport
PWN,MYCP,Pitts Town Airport
CCZ,MYBC,Chub Cay International Airport
DCT,MYRD,Duncan Town Airport
GHB,MYEM,Governor's Harbour Airport
GHC,MYBG,Great Harbour Cay Airport
ELH,MYEH,North Eleuthera Airport
MAY,MYAB,Clarence A. Bain Airport
AXP,MYAP,Spring Point Airport
TZN,MYAK,South Andros Airport (Congo Town Airport)
TYM,MYES,Staniel Cay Airport
RCY,MYRP,Port Nelson Airport
LGI,MYLD,Deadman's Cay Airport
MHH,MYAM,Marsh Harbour Airport
ZSA,MYSM,San Salvador Airport (Cockburn Town Airport)
ATC,MYCA,Arthur's Town Airport
RSD,MYER,Rock Sound International Airport
WKR,MYAW,Walker's Cay Airport
NMC,MYEN,Norman's Cay Airport
BIM,MYBS,South Bimini Airport
GGT,MYEF,Exuma International Airport
MYG,MYMM,Mayaguana Airport (Abraham's Bay Airport)
TCB,MYAT,Treasure Cay Airport
SML,MYLS,Stella Maris Airport
ASD,MYAF,Andros Town International Airport
TBI,MYCB,New Bight Airport
IGA,MYIG,Inagua Airport (Matthew Town Airport)
WTD,MYGW,West End Airport
PBH,VQPR,Paro Airport
YON,VQTY,Yongphulla Airport (Yonphula Airport)
GLU,VQGP,Gelephu Airport
BUT,VQBT,Bathpalathang Airport
TLD,FBTL,Tuli Lodge Airport
SVT,FBSV,Savuti Airport
SXN,FBSN,Sua Pan Airport
GNZ,FBGZ,Ghanzi Airport
KHW,FBKR,Khwai River Airport
TBY,FBTS,Tshabong Airport
GBE,FBSK,Sir Seretse Khama International Airport
FRW,FBFT,Francistown Airport
MUB,FBMN,Maun Airport
JWA,FBJW,Jwaneng Airport
BBK,FBKE,Kasane Airport
SWX,FBSW,Shakawe Airport
PKW,FBSP,Selebi-Phikwe Airport
ORP,FBOR,Orapa Airport
LOQ,FBLO,Lobatse Airport
GME,UMGG,Gomel Airport
VTB,UMII,Vitebsk Vostochny Airport
GNA,UMMG,Grodno Airport
BQT,UMBB,Brest Airport
MHP,UMMM,Minsk-1 Airport
MSQ,UMMS,Minsk National Airport
MVQ,UMOO,Mogilev Airport
BZE,MZBZ,Philip S. W. Goldson International Airport
YDV,CZTA,Bloodvein River Airport
YKC,CYKC,Collins Bay Airport
YDT,CZBB,Boundary Bay Airport
YDQ,CYDQ,Dawson Creek Airport
YDP,CYDP,Nain Airport
YDO,CYDO,Dolbeau-Saint-Felicien Airport
YDN,CYDN,Lt. Col W.G. (Billy) Barker VC Airport
YKA,CYKA,Kamloops Airport
YDL,CYDL,Dease Lake Airport
YJT,CYJT,Stephenville International Airport
YDG,CYID,Digby/Annapolis Regional Airport
YDF,CYDF,Deer Lake Regional Airport
YJN,CYJN,Saint-Jean Airport
YDB,CYDB,Burwash Airport
YJF,CYJF,Fort Liard Airport
YDA,CYDA,Dawson City Airport
YCZ,CYCZ,Fairmont Hot Springs Airport
YCY,CYCY,Clyde River Airport
YJA,CYJA,Jasper Airport
YCW,CYCW,Chilliwack Airport
YIV,CYIV,Island Lake Airport (Garden Hill Airport)
YCT,CYCT,Coronation Airport
YCS,CYCS,Chesterfield Inlet Airport
YCR,CYCR,Cross Lake (Charlie Sinclair Memorial) Airport
YCO,CYCO,Kugluktuk Airport
YCN,CYCN,Cochrane Aerodrome
YCM,CYSN,St. Catharines/Niagara District Airport
YCL,CYCL,Charlo Airport
YCK,CYVL,Colville Lake/Tommy Kochon Aerodrome
YIO,CYIO,Pond Inlet Airport
YCH,CYCH,Miramichi Airport
YIK,CYIK,Ivujivik Airport
YCG,CYCG,West Kootenay Regional Airport (Castlegar Airport)
YCE,CYCE,Centralia/James T. Field Memorial Aerodrome
YCD,CYCD,Nanaimo Airport
YCC,CYCC,Cornwall Regional Airport
CXH,CYHC,Vancouver Harbour Flight Centre (Coal Harbour Seaplane Base)
YCB,CYCB,Cambridge Bay Airport
YBY,CYBF,Bonnyville Airport
YBX,CYBX,Lourdes-de-Blanc-Sablon Airport
ILF,CZBD,Ilford Airport
YBV,CYBV,Berens River Airport
YBT,CYBT,Brochet Airport
YBR,CYBR,Brandon Municipal Airport (McGill Field)
YIF,CYIF,Saint-Augustin Airport
YBL,CYBL,Campbell River Airport
YBK,CYBK,Baker Lake Airport
YIB,CYIB,Atikokan Municipal Airport
YBH,CYBH,Bull Harbour Waterdrome
YBG,CYBG,Canadian Forces Base Bagotville
YBE,CYBE,Uranium City Airport
YBC,CYBC,Baie-Comeau Airport
YBB,CYBB,Kugaaruk Airport
YBA,CYBA,Banff Airport
YHZ,CYHZ,Halifax Stanfield International Airport
YAZ,CYAZ,Tofino/Long Beach Airport
YAY,CYAY,St. Anthony Airport
YHY,CYHY,Hay River/Merlyn Carter Airport
YAT,CYAT,Attawapiskat Airport
YAR,CYAD,La Grande-3 Airport
YHU,CYHU,Montreal/Saint-Hubert Airport
MSA,CZMD,Muskrat Dam Airport
YHT,CYHT,Haines Junction Airport
YAM,CYAM,Sault Ste. Marie Airport
YAL,CYAL,Alert Bay Airport
YHR,CYHR,Chevery Airport
YAH,CYAH,La Grande-4 Airport
YAG,CYAG,Fort Frances Municipal Airport
YCQ,CYCQ,Chetwynd Airport
YAC,CYAC,Cat Lake Airport
YAB,CYAB,Arctic Bay Airport
AKV,CYKO,Akulivik Airport
XTL,CYBQ,Tadoule Lake Airport
YHP,CYHP,Poplar Hill Airport
XSI,CZSN,South Indian Lake Airport
YHO,CYHO,Hopedale Airport
HZP,CYNR,Fort MacKay/Horizon Airport
XRR,CYDM,Ross River Airport
YHN,CYHN,Hornepayne Municipal Airport
YHM,CYHM,John C. Munro Hamilton International Airport
YHK,CYHK,Gjoa Haven Airport
XPP,CZNG,Poplar River Airport
YHI,CYHI,Ulukhaktok/Holman Airport
YZR,CYZR,Sarnia Chris Hadfield Airport
YZP,CYZP,Sandspit Airport
YZH,CYZH,Slave Lake Airport
YZG,CYZG,Salluit Airport
YZF,CYZF,Yellowknife Airport
YHF,CYHF,Hearst Municipal Airport
XCM,CYCK,Chatham-Kent Airport
YZE,CYZE,Gore Bay-Manitoulin Airport
YZU,CYZU,Whitecourt Airport
YHE,CYHE,Hope Aerodrome
YZV,CYZV,Sept-Iles Airport
YHD,CYHD,Dryden Regional Airport
YYZ,CYYZ,Toronto Pearson International Airport
YHB,CYHB,Hudson Bay Airport
YYY,CYYY,Mont-Joli Airport
YYW,CYYW,Armstrong Airport
YYU,CYYU,Kapuskasing Airport
YYT,CYYT,St. John's International Airport
YGZ,CYGZ,Grise Fiord Airport
YGX,CYGX,Gillam Airport
YGW,CYGW,Kuujjuarapik Airport
YYR,CYYR,CFB Goose Bay
YYQ,CYYQ,Churchill Airport
YYN,CYYN,Swift Current Airport
YYM,CYYM,Cowley Airport
YYL,CYYL,Lynn Lake Airport
YYJ,CYYJ,Victoria International Airport
YYI,CYYI,Rivers Airport
YYH,CYYH,Taloyoak Airport
YYG,CYYG,Charlottetown Airport
YZW,CYZW,Teslin Airport
YYF,CYYF,Penticton Regional Airport
YZX,CYZX,CFB Greenwood
YYE,CYYE,Northern Rockies Regional Airport
YGV,CYGV,Havre Saint-Pierre Airport
YYD,CYYD,Smithers Airport
YYC,CYYC,Calgary International Airport
YGT,CYGT,Igloolik Airport
YGR,CYGR,Iles-de-la-Madeleine Airport
YGQ,CYGQ,Geraldton (Greenstone Regional) Airport
YYB,CYYB,North Bay/Jack Garland Airport
YXZ,CYXZ,Wawa Airport
ZAC,CZAC,York Landing Airport
YXY,CYXY,Erik Nielsen Whitehorse International Airport
YGP,CYGP,Michel-Pouliot Gaspe Airport
YXX,CYXX,Abbotsford International Airport
YXU,CYXU,London International Airport
YGO,CYGO,Gods Lake Narrows Airport
YXT,CYXT,Northwest Regional Airport
YGM,CYGM,Gimli Industrial Park Airport
YGL,CYGL,La Grande Riviere Airport
YGK,CYGK,Kingston/Norman Rogers Airport
YXS,CYXS,Prince George Airport
XGR,CYLU,Kangiqsualujjuaq (Georges River) Airport
YXR,CYXR,Earlton (Timiskaming Regional) Airport
YXQ,CYXQ,Beaver Creek Airport
YXP,CYXP,Pangnirtung Airport
QBC,CYBD,Bella Coola Airport
YGH,CYGH,Fort Good Hope Airport
ZBF,CZBF,Bathurst Airport
ZBM,CZBM,Roland-Desourdy Airport
YXN,CYXN,Whale Cove Airport
YXL,CYXL,Sioux Lookout Airport
YXK,CYXK,Rimouski Airport
ZEL,CBBC,Bella Bella (Campbell Island) Airport
YXJ,CYXJ,Fort St. John Airport (North Peace Airport)
YXH,CYXH,Medicine Hat Airport
YXE,CYXE,Saskatoon John G. Diefenbaker International Airport
YXD,CYXD,Edmonton City Centre (Blatchford Field) Airport
YXC,CYXC,Cranbrook/Canadian Rockies International Airport
ZEM,CZEM,Eastmain River Airport
YWY,CYWY,Wrigley Airport
YZT,CYZT,Port Hardy Airport
ZFA,CZFA,Faro Airport
ZFD,CZFD,Fond-du-Lac Airport
ZFM,CZFM,Fort McPherson Airport
ZFN,CZFN,Tulita Airport
YWP,CYWP,Webequie Airport
YWL,CYWL,Williams Lake Airport
YGB,CYGB,Texada/Gillies Bay Airport
YFS,CYFS,Fort Simpson Airport
YWK,CYWK,Wabush Airport
ZGF,CZGF,Grand Forks Airport
YWJ,CYWJ,Deline Airport
YWH,CYWH,Victoria Harbour Water Airport
ZGI,CZGI,Gods River Airport
YFR,CYFR,Fort Resolution Airport
ZGR,CZGR,Little Grand Rapids Airport
YWG,CYWG,Winnipeg James Armstrong Richardson International Airport
YWB,CYKG,Kangiqsujuaq (Wakeham Bay) Airport
YWA,CYWA,Petawawa Airport
YFO,CYFO,Flin Flon Airport
XKS,CYAQ,Kasabonika Airport
YFJ,CYWE,Wekweeti Airport
YVZ,CYVZ,Deer Lake Airport
YVV,CYVV,Wiarton Airport
YVT,CYVT,Buffalo Narrows Airport
XLB,CZWH,Lac Brochet Airport
YFH,CYFH,Fort Hope Airport
YVR,CYVR,Vancouver International Airport
YVQ,CYVQ,Norman Wells Airport
YVP,CYVP,Kuujjuaq Airport
YFE,CYFE,Forestville Airport
YVO,CYVO,Val-d'Or Airport
YVN,CYVN,Cape Dyer Airport
YVM,CYVM,Qikiqtarjuaq Airport
YFC,CYFC,Fredericton International Airport
ZHP,CZHP,High Prairie Airport
YVG,CYVG,Vermilion Airport
YFB,CYFB,Iqaluit Airport
YVE,CYVK,Vernon Regional Airport
YVC,CYVC,La Ronge (Barber Field) Airport
YVB,CYVB,Bonaventure Airport
YUY,CYUY,Rouyn-Noranda Airport
YUX,CYUX,Hall Beach Airport
YUT,CYUT,Repulse Bay Airport
YFA,CYFA,Fort Albany Airport
YUL,CYUL,Montreal-Pierre Elliott Trudeau International Airport
YUD,CYMU,Umiujaq Airport
YUB,CYUB,Tuktoyaktuk/James Gruben Airport
YEY,CYEY,Amos/Magny Airport
YEV,CYEV,Inuvik (Mike Zubko) Airport
YTZ,CYTZ,Billy Bishop Toronto City Airport (Toronto Island Airport)
